batch,sample,horizon_sec,gate_value,mean_innovation,max_innovation
0,28,0.5,0.39280456,0.0034293495,0.007491527
0,28,1.0,0.45995107,0.0034293495,0.007491527
0,28,1.5,0.5220767,0.0034293495,0.007491527
0,28,2.0,0.4894249,0.0034293495,0.007491527
0,28,2.5,0.5403216,0.0034293495,0.007491527
0,29,0.5,0.3806515,0.0034316757,0.0075978558
0,29,1.0,0.45511103,0.0034316757,0.0075978558
0,29,1.5,0.5194047,0.0034316757,0.0075978558
0,29,2.0,0.48872405,0.0034316757,0.0075978558
0,29,2.5,0.54273605,0.0034316757,0.0075978558
0,30,0.5,0.36678734,0.003433319,0.007703536
0,30,1.0,0.44832402,0.003433319,0.007703536
0,30,1.5,0.5160306,0.003433319,0.007703536
0,30,2.0,0.48789868,0.003433319,0.007703536
0,30,2.5,0.5456191,0.003433319,0.007703536
0,31,0.5,0.3574492,0.0034338555,0.007808955
0,31,1.0,0.4425205,0.0034338555,0.007808955
0,31,1.5,0.5123041,0.0034338555,0.007808955
0,31,2.0,0.4865936,0.0034338555,0.007808955
0,31,2.5,0.5483163,0.0034338555,0.007808955
0,32,0.5,0.35333642,0.0034344422,0.007915529
0,32,1.0,0.43875134,0.0034344422,0.007915529
0,32,1.5,0.509131,0.0034344422,0.007915529
0,32,2.0,0.48512742,0.0034344422,0.007915529
0,32,2.5,0.55025756,0.0034344422,0.007915529
0,33,0.5,0.3525673,0.00343224,0.008024001
0,33,1.0,0.43652716,0.00343224,0.008024001
0,33,1.5,0.50681925,0.00343224,0.008024001
0,33,2.0,0.48366442,0.00343224,0.008024001
0,33,2.5,0.5512533,0.00343224,0.008024001
0,34,0.5,0.35353667,0.0034310627,0.008139694
0,34,1.0,0.43528745,0.0034310627,0.008139694
0,34,1.5,0.5054455,0.0034310627,0.008139694
0,34,2.0,0.48227343,0.0034310627,0.008139694
0,34,2.5,0.5512785,0.0034310627,0.008139694
0,35,0.5,0.35471332,0.003425465,0.008258424
0,35,1.0,0.43466493,0.003425465,0.008258424
0,35,1.5,0.5045697,0.003425465,0.008258424
0,35,2.0,0.4813487,0.003425465,0.008258424
0,35,2.5,0.5512642,0.003425465,0.008258424
0,36,0.5,0.35510677,0.003419891,0.00838156
0,36,1.0,0.43422416,0.003419891,0.00838156
0,36,1.5,0.5041208,0.003419891,0.00838156
0,36,2.0,0.48091996,0.003419891,0.00838156
0,36,2.5,0.5513388,0.003419891,0.00838156
0,37,0.5,0.35506642,0.0034139766,0.008510357
0,37,1.0,0.4339379,0.0034139766,0.008510357
0,37,1.5,0.50393945,0.0034139766,0.008510357
0,37,2.0,0.48077145,0.0034139766,0.008510357
0,37,2.5,0.55140334,0.0034139766,0.008510357
0,38,0.5,0.35462207,0.003407258,0.008639988
0,38,1.0,0.4338143,0.003407258,0.008639988
0,38,1.5,0.5040009,0.003407258,0.008639988
0,38,2.0,0.48084706,0.003407258,0.008639988
0,38,2.5,0.5514135,0.003407258,0.008639988
